Spec#,Date coll,Jar #,Tag # individ,M/F,mm,BD,MC(L),MC(S),ACANTH,Coordinates,,
CT_173,23-May-2019,Cray2019_325,Trog_0175,F,25.2,,,,,"Cray2019_325: 33.131586N, -79.608116W",,
CT_174,23-May-2019,Cray2019_325,Trog_0177,M,20.9,,,,,"Cray2019_325: 33.131586N, -79.608116W",,
CT_175,15-May-2019,Cray2019_343,Trog_0343,M,16.2,,,,,"Cray2019_278: 32.844563N, -80.124694W",,
CT_176,15-May-2019,Cray2019_343,Trog_0342,M,18.1,,,,,"Cray2019_278: 32.844563N, -80.124694W",,
CT_177,15-May-2019,Cray2019_343,Trog_0341,F,23.5,,,,,"Cray2019_278: 32.844563N, -80.124694W",,
CT_178,25-May-2019,Cray2019_350,Trog_0333,M,17.9,,,10,,"Cray2019_350: 33.284954N, -79.61379W",,
CT_179,25-May-2019,Cray2019_350,Trog_0335,M,15.4,,,,,"Cray2019_350: 33.284954N, -79.61379W",,
CT_180,25-May-2019,Cray2019_350,Trog_0332,F,15.8,,,,,"Cray2019_350: 33.284954N, -79.61379W",,
CT_181,25-May-2019,Cray2019_350,Trog_0334,F,13.1,,,10,,"Cray2019_350: 33.284954N, -79.61379W",,
CT_182,27-Apr-2019,Cray2019_241,Trog_0192,F,20.6,,,8,,"Cray2019_241: 32.791893N, -80.110368W",,
CT_183,27-Apr-2019,Cray2019_241,Trog_0190,F,19.1,,,10,,"Cray2019_241: 32.791893N, -80.110368W",,
CT_184,27-Apr-2019,Cray2019_241,Trog_0198,M,17.6,,,,,"Cray2019_241: 32.791893N, -80.110368W",,
CT_185,27-Apr-2019,Cray2019_241,Trog_0195,M,19.5,,,,,"Cray2019_241: 32.791893N, -80.110368W",,
CT_186,27-Apr-2019,Cray2019_241,Trog_0191,F,16.2,,,,,"Cray2019_241: 32.791893N, -80.110368W",,
CT_187,27-Apr-2019,Cray2019_241,Trog_0193,F,15.9,,,,,"Cray2019_241: 32.791893N, -80.110368W",,
CT_188,27-Apr-2019,Cray2019_241,Trog_0196,F,15.1,,,,,"Cray2019_241: 32.791893N, -80.110368W",,
CT_189,27-Apr-2019,Cray2019_241,Trog_0189,F,14.9,,,10,,"Cray2019_241: 32.791893N, -80.110368W",,
CT_190,27-Apr-2019,Cray2019_241,Trog_0194,M,15.2,,,,,"Cray2019_241: 32.791893N, -80.110368W",,
CT_191,27-Apr-2019,Cray2019_241,Trog_0197,F,13.8,,,,,"Cray2019_241: 32.791893N, -80.110368W",,
CT_192,27-Apr-2019,Cray2019_186,Trog_0360,M,15.3,,,,,"Cray2019_186: 32.790868N, -80.112564W",,
CT_193,27-Apr-2019,Cray2019_186,Trog_0354,F,19.9,,,,,"Cray2019_186: 32.790868N, -80.112564W",,
CT_194,27-Apr-2019,Cray2019_186,Trog_0361,F,16.9,,,,,"Cray2019_186: 32.790868N, -80.112564W",,
CT_195,27-Apr-2019,Cray2019_186,Trog_0355,F,18.5,,,10,,"Cray2019_186: 32.790868N, -80.112564W",,
CT_196,27-Apr-2019,Cray2019_186,Trog_0358,M,16.3,,,,,"Cray2019_186: 32.790868N, -80.112564W",,
CT_197,27-Apr-2019,Cray2019_186,Trog_0357,M,17.4,,,,,"Cray2019_186: 32.790868N, -80.112564W",,
CT_198,27-Apr-2019,Cray2019_186,Trog_0356,M,13.6,,,,,"Cray2019_186: 32.790868N, -80.112564W",,
CT_199,27-Apr-2019,Cray2019_186,Trog_0359,F,14.5,,,,,"Cray2019_186: 32.790868N, -80.112564W",,
CT_200,1-Feb-2019,Cray2021_008,Trog_0305,F,20.9,,,,,"Cray2021_008: 33.17216N, -81.4501W",,
CT_201,1-Feb-2019,Cray2021_008,Trog_0304,M,16.7,,,,,"Cray2021_008: 33.17216N, -81.4501W",,
CT_202,1-Feb-2019,Cray2021_008,Trog_0303,F,18.6,,,,,"Cray2021_008: 33.17216N, -81.4501W",,
CT_203,1-Feb-2019,Cray2021_008,Trog_0306,F,16.9,,,,,"Cray2021_008: 33.17216N, -81.4501W",,
CT_204,1-Feb-2019,Cray2021_008,Trog_0308,M,12.7,,,,,"Cray2021_008: 33.17216N, -81.4501W",,
CT_205,1-Feb-2019,Cray2021_008,Trog_0309,F,14.1,,,,,"Cray2021_008: 33.17216N, -81.4501W",,
CT_206,1-Feb-2019,Cray2021_008,Trog_0307,M,12.2,,,,,"Cray2021_008: 33.17216N, -81.4501W",,
CT_207,1-Feb-2019,Cray2021_008,Trog_0310,F,13.6,,,,,"Cray2021_008: 33.17216N, -81.4501W",,
CT_208,18-Nov-2019,Cray2019_570,Trog_0387,M,23.1,,,,,"Cray2019_570: 33.7313N, -79.27956W",,
CT_209,18-Nov-2019,Cray2019_570,Trog_0400,F,14.3,,,,,"Cray2019_570: 33.7313N, -79.27956W",,
CT_210,18-Nov-2019,Cray2019_570,Trog_0395,F,14.9,,,,,"Cray2019_570: 33.7313N, -79.27956W",,
CT_211,18-Nov-2019,Cray2019_570,Trog_0393,F,13.6,,,,,"Cray2019_570: 33.7313N, -79.27956W",,
CT_212,18-Nov-2019,Cray2019_570,Trog_0401,F,13.7,,,,,"Cray2019_570: 33.7313N, -79.27956W",,
CT_213,18-Nov-2019,Cray2019_570,Trog_0397,M,14.1,,,,,"Cray2019_570: 33.7313N, -79.27956W",,
CT_214,18-Nov-2019,Cray2019_570,Trog_0386,F,29.5,,,,,"Cray2019_570: 33.7313N, -79.27956W",,
CT_215,18-Nov-2019,Cray2019_570,Trog_0389,M,20.4,,,10,,"Cray2019_570: 33.7313N, -79.27956W",,
CT_216,18-Nov-2019,Cray2019_570,Trog_0385,F,23.3,,,,,"Cray2019_570: 33.7313N, -79.27956W",,
CT_217,18-Nov-2019,Cray2019_570,Trog_0390,F,16.7,,,,,"Cray2019_570: 33.7313N, -79.27956W",,
CT_218,18-Nov-2019,Cray2019_570,Trog_0384,M,16.1,,,,,"Cray2019_570: 33.7313N, -79.27956W",,
CT_219,18-Nov-2019,Cray2019_570,Trog_0388,M,19.4,,,10,,"Cray2019_570: 33.7313N, -79.27956W",,
CT_220,18-Nov-2019,Cray2019_570,Trog_0396,F,12.7,,,,,"Cray2019_570: 33.7313N, -79.27956W",,
CT_221,18-Nov-2019,Cray2019_570,Trog_0398,F,11.8,,,,,"Cray2019_570: 33.7313N, -79.27956W",,
CT_222,18-Nov-2019,Cray2019_570,Trog_0394,M,15.2,,,,,"Cray2019_570: 33.7313N, -79.27956W",,
CT_223,18-Nov-2019,Cray2019_570,Trog_0402,F,13.7,,,,,"Cray2019_570: 33.7313N, -79.27956W",,
CT_224,18-Nov-2019,Cray2019_570,Trog_0399,M,13.2,,,,,"Cray2019_570: 33.7313N, -79.27956W",,
CT_225,18-Nov-2019,Cray2019_570,Trog_0391,M,12.3,,,,,"Cray2019_570: 33.7313N, -79.27956W",,
CT_226,18-Nov-2019,Cray2019_570,Trog_0392,M,12.4,,,,,"Cray2019_570: 33.7313N, -79.27956W",,
CT_227,18-Nov-2019,Cray2019_570,Trog_0406,F,10,,,,,"Cray2019_570: 33.7313N, -79.27956W",,
CT_228,18-Nov-2019,Cray2019_570,Trog_0403,F,10.5,,,,,"Cray2019_570: 33.7313N, -79.27956W",,
CT_229,18-Nov-2019,Cray2019_570,Trog_0405,F,9.1,,,,,"Cray2019_570: 33.7313N, -79.27956W",,
CT_230,18-Nov-2019,Cray2019_570,Trog_0408,F,9.6,,,,,"Cray2019_570: 33.7313N, -79.27956W",,
CT_231,18-Nov-2019,Cray2019_570,Trog_0410,F,9.4,,,,,"Cray2019_570: 33.7313N, -79.27956W",,
CT_232,18-Nov-2019,Cray2019_570,Trog_0409,M,9.7,,,,,"Cray2019_570: 33.7313N, -79.27956W",,
CT_233,18-Nov-2019,Cray2019_570,Trog_0407,M,9.2,,,,,"Cray2019_570: 33.7313N, -79.27956W",,
CT_234,18-Nov-2019,Cray2019_570,Trog_0404,M,11.1,,,,,"Cray2019_570: 33.7313N, -79.27956W",,
CT_235,3-October-2019,Cray2019_459,Trog_0366,M,12.7,,,,,"Cray2019_459: 33.22996N, -79.48109W",,
CT_236,10-May-2019,Cray2019_223,Trog_0331,M,19.4,,,,,"Cray2019_223: 32.827383N, -80.132628W",,
CT_237,8-October-2019,Cray2019_497,Trog_0327,F,23.7,,,,2,"Cray2019_497: 32.82577N, -80.12537W",,
CT_238,1-May-2019,Cray2019_181,Trog_0320,M,15.9,,,,,"Cray2019_181: 32.83026N, -80.13232W",,
CT_239,1-May-21019,Cray2019_181,Trog_0319,M,17.9,,,,,"Cray2019_181: 32.83026N, -80.13232W",,
CT_240,2-May-2019,Cray2019_202,Trog_0318,M,17,,,,,"Cray2019_202: 32.840846N, -80.122833W",,
CT_241,2-May-2019,Cray2019_168,Trog_0381,F,15.4,,,,,"Cray2019_168: 32.8355860N, -80.128438W",,
CT_242,2-May-2019,Cray2019_168,Trog_0382,F,14.6,,,,,"Cray2019_168: 32.8355860N, -80.128438W",,
CT_243,2-May-2019,Cray2019_168,Trog_0383,M,14,,,,,"Cray2019_168: 32.8355860N, -80.128438W",,
CT_244,2-May-2019,Cray2019_168,Trog_0380,F,14.6,,,,,"Cray2019_168: 32.8355860N, -80.128438W",,
CT_245,2-May-2019,Cray2019_168,Trog_0379,F,12.6,,,,,"Cray2019_168: 32.8355860N, -80.128438W",,
CT_246,1-May-2019,Cray2019_195,Trog_0256,M,22,,,,,"Cray2019_195: 32.83155N, -80.128667W",,
CT_247,1-May-2019,Cray2019_195,Trog_0258,F,17.1,,,,,"Cray2019_195: 32.83155N, -80.128667W",,
CT_248,1-May-2019,Cray2019_195,Trog_0255,M,19.9,,,,,"Cray2019_195: 32.83155N, -80.128667W",,
CT_249,1-May-2019,Cray2019_195,Trog_0259,F,14.2,,,,,"Cray2019_195: 32.83155N, -80.128667W",,
CT_250,1-May-2019,Cray2019_195,Trog_0257,F,18.5,,,,,"Cray2019_195: 32.83155N, -80.128667W",,
CT_251,10-May-2019,Cray2019_263,Trog_0152,F,15.6,,,,,"Cray2019_263: 32.831721N, -80.1348281W",,
CT_252,10-May-2019,Cray2019_263,Trog_0154,M,16.9,,,,,"Cray2019_263: 32.831721N, -80.1348281W",,
CT_253,10-May-2019,Cray2019_263,Trog_0151,F,22.6,,,,,"Cray2019_263: 32.831721N, -80.1348281W",,
CT_254,10-May-2019,Cray2019_263,Trog_0153,M,16.2,,,,,"Cray2019_263: 32.831721N, -80.1348281W",,
CT_255,10-May-2019,Cray2019_263,Trog_0149,F,17.7,,,,,"Cray2019_263: 32.831721N, -80.1348281W",,
CT_256,10-May-2019,Cray2019_263,Trog_0150,F,14.6,,,,,"Cray2019_263: 32.831721N, -80.1348281W",,
CT_257,10-May-2019,Cray2019_263,Trog_0155,M,13.1,,,,,"Cray2019_263: 32.831721N, -80.1348281W",,
CT_258,10-May-2019,Cray2019_263,Trog_0148,F,15.9,,,,,"Cray2019_263: 32.831721N, -80.1348281W",,
CT_259,1-May-2019,Cray2019_231,Trog_0617,F,15.3,,,,,"Cray2019_231: 32.83811N, -80.12578W",,
CT_260,1-May-2019,Cray2019_231,Trog_0618,F,15,,,,,"Cray2019_231: 32.83811N, -80.12578W",,
CT_261,1-May-2019,Cray2019_231,Trog_0619,M,19,,,,,"Cray2019_231: 32.83811N, -80.12578W",,
CT_262,1-May-2019,Cray2019_231,Trog_0620,M,29.4,,,,,"Cray2019_231: 32.83811N, -80.12578W",,
CT_263,2-May-2019,Cray2019_185,Trog_0350,M,19.3,,,,,"Cray2019_185: 32.833412N, -80.129599W",,
CT_264,2-May-2019,Cray2019_185,Trog_0351,M,19.7,,,,,"Cray2019_185: 32.833412N, -80.129599W",,
CT_265,2-May-2019,Cray2019_185,Trog_0348,F,21.5,,,,,"Cray2019_185: 32.833412N, -80.129599W",,
CT_266,2-May-2019,Cray2019_185,Trog_0346,F,14.6,,,,,"Cray2019_185: 32.833412N, -80.129599W",,
CT_267,2-May-2019,Cray2019_185,Trog_0353,F,13,,,,,"Cray2019_185: 32.833412N, -80.129599W",,
CT_268,2-May-2019,Cray2019_185,Trog_0345,M,15.2,,,,,"Cray2019_185: 32.833412N, -80.129599W",,
CT_269,2-May-2019,Cray2019_185,Trog_0344,F,14.8,,,,,"Cray2019_185: 32.833412N, -80.129599W",,
CT_270,2-May-2019,Cray2019_185,Trog_0352,M,15.2,,,,,"Cray2019_185: 32.833412N, -80.129599W",,
CT_271,2-May-2019,Cray2019_185,Trog_0347,M,17.5,,,,,"Cray2019_185: 32.833412N, -80.129599W",,
CT_272,2-May-2019,Cray2019_185,Trog_0349,M,23.4,4,,,,"Cray2019_185: 32.833412N, -80.129599W",,
CT_273,2-May-2019,Cray2019_184,Trog_0374,M,15.3,,,,,"Cray2019_184: 32.836943N, -80.126328W",,
CT_274,2-May-2019,Cray2019_184,Trog_0375,F,16.3,,,,,"Cray2019_184: 32.836943N, -80.126328W",,
CT_275,2-May-2019,Cray2019_184,Trog_0371,F,14.8,,,,,"Cray2019_184: 32.836943N, -80.126328W",,
CT_276,2-May-2019,Cray2019_184,Trog_0373,F,15,,,,,"Cray2019_184: 32.836943N, -80.126328W",,
CT_277,2-May-2019,Cray2019_184,Trog_0377,F,14.2,,,,,"Cray2019_184: 32.836943N, -80.126328W",,
CT_278,2-May-2019,Cray2019_184,Trog_0378,M,14,,,,,"Cray2019_184: 32.836943N, -80.126328W",,
CT_279,2-May-2019,Cray2019_184,Trog_0376,F,15.5,,,,,"Cray2019_184: 32.836943N, -80.126328W",,
CT_280,2-May-2019,Cray2019_184,Trog_0369,F,13.6,,,,,"Cray2019_184: 32.836943N, -80.126328W",,
CT_281,2-May-2019,Cray2019_184,Trog_0370,F,17.9,,,,,"Cray2019_184: 32.836943N, -80.126328W",,
CT_282,2-May-2019,Cray2019_184,Trog_0372,F,15.6,,,,,"Cray2019_184: 32.836943N, -80.126328W",,
CT_283,2-May-2019,Cray2019_184,Trog_0368,F,18.3,,,,,"Cray2019_184: 32.836943N, -80.126328W",,
CT_284,2-May-2019,Cray2019_184,Trog_0367,F,23.1,,,,,"Cray2019_184: 32.836943N, -80.126328W",,
CT_285,10-May-2019,Cray2019_232,Trog_0174,F,13.2,,,,,"Cray2019_232: 32.830534N, -80.134748W",,
CT_286,10-May-2019,Cray2019_232,Trog_0172,F,15.6,,,,,"Cray2019_232: 32.830534N, -80.134748W",,
CT_287,10-May-2019,Cray2019_232,Trog_0171,F,15.2,,,,,"Cray2019_232: 32.830534N, -80.134748W",,
CT_288,10-May-2019,Cray2019_232,Trog_0170,M,16.9,,,,,"Cray2019_232: 32.830534N, -80.134748W",,
CT_289,10-May-2019,Cray2019_232,Trog_0173,F,12,,,,,"Cray2019_232: 32.830534N, -80.134748W",,
CT_290,10-May-2019,Cray2019_232,Trog_0169,F,15.8,,,,,"Cray2019_232: 32.830534N, -80.134748W",,
CT_291,10-May-2019,Cray2019_232,Trog_0165,M,14.6,,,,,"Cray2019_232: 32.830534N, -80.134748W",,
CT_292,10-May-2019,Cray2019_232,Trog_0166,F,15.1,,,,,"Cray2019_232: 32.830534N, -80.134748W",,
CT_293,10-May-2019,Cray2019_232,Trog_0167,F,16.8,,,,,"Cray2019_232: 32.830534N, -80.134748W",,
CT_294,10-May-2019,Cray2019_232,Trog_0168,M,17.8,,,,,"Cray2019_232: 32.830534N, -80.134748W",,
CT_295,10-May-2019,Cray2019_234,Trog_0247,M,14.6,,,,,"Cray2019_234: 32.825013N, -80.129726W",,
CT_296,10-May-2019,Cray2019_234,Trog_0250,M,13.2,,,,,"Cray2019_234: 32.825013N, -80.129726W",,
CT_297,10-May-2019,Cray2019_234,Trog_0249,M,13.6,1,,,,"Cray2019_234: 32.825013N, -80.129726W",,
CT_298,10-May-2019,Cray2019_234,Trog_0248,M,14.3,,,,,"Cray2019_234: 32.825013N, -80.129726W",,
CT_299,10-May-2019,Cray2019_234,Trog_0251,M,11.8,,,,,"Cray2019_234: 32.825013N, -80.129726W",,
CT_300,10-May-2019,Cray2019_234,Trog_0243,M,13,,,,,"Cray2019_234: 32.825013N, -80.129726W",,
CT_301,10-May-2019,Cray2019_234,Trog_0244,M,12.7,,,,,"Cray2019_234: 32.825013N, -80.129726W",,
CT_302,10-May-2019,Cray2019_234,Trog_0245,F,16.4,,,,,"Cray2019_234: 32.825013N, -80.129726W",,
CT_303,10-May-2019,Cray2019_234,Trog_0246,F,12.6,,,,,"Cray2019_234: 32.825013N, -80.129726W",,
CT_304,10-May-2019,Cray2019_234,Trog_0242,F,17.7,,,,,"Cray2019_234: 32.825013N, -80.129726W",,
CT_305,10-May-2019,Cray2019_234,Trog_0241,F,15.1,,,,,"Cray2019_234: 32.825013N, -80.129726W",,
CT_306,25-Apr-2019,Cray2019_205,Trog_0161,F,16.6,,,,,"Cray2019_205: 32.828458N, -80.13752W",,
CT_307,25-Apr-2019,Cray2019_205,Trog_0162,M,14.8,,,,1,"Cray2019_205: 32.828458N, -80.13752W",,
CT_308,25-Apr-2019,Cray2019_205,Trog_0163,F,15.4,,,,1,"Cray2019_205: 32.828458N, -80.13752W",,
CT_309,25-Apr-2019,Cray2019_205,Trog_0164,M,18.3,,,,4,"Cray2019_205: 32.828458N, -80.13752W",,
CT_310,15-May-2019,Cray2019_281,Trog_0292,M,14.1,,,,,"Cray2019_281:32.835782N, -80.124814W",,
CT_311,15-May-2019,Cray2019_281,Trog_0293,F,16.4,,,,,"Cray2019_281:32.835782N, -80.124814W",,
CT_312,15-May-2019,Cray2019_281,Trog_0294,M,18.1,,,,,"Cray2019_281:32.835782N, -80.124814W",,
CT_313,15-May-2019,Cray2019_281,Trog_0295,M,14.3,,,,,"Cray2019_281:32.835782N, -80.124814W",,
CT_314,15-May-2019,Cray2019_290,Trog_0296,M,16.4,,,,,"Cray2019_290: 32.836622N, -80.130394W",,
CT_315,15-May-2019,Cray2019_290,Trog_0297,F,20.2,,,,1,"Cray2019_290: 32.836622N, -80.130394W",,
CT_316,15-May-2019,Cray2019_279,Trog_0336,F,11.6,,,,,"Cray2019_279:32.835313N, -80.131682W",,
CT_317,15-May-2019,Cray2019_279,Trog_0337,M,11.8,,,,,"Cray2019_279:32.835313N, -80.131682W",,
CT_318,15-May-2019,Cray2019_279,Trog_0338,F,11.5,,,,,"Cray2019_279:32.835313N, -80.131682W",,
CT_319,15-May-2019,Cray2019_279,Trog_0339,F,10.3,,,,,"Cray2019_279:32.835313N, -80.131682W",,
CT_320,N/A,23_HYB_014,23_HYB_014,M,20.7,,,,,"23_HYB_001: 32.824904N, -80.124925W",,
CT_321,N/A,23_HYB_014,23_HYB_024,M,9.9,,3,,,"23_HYB_001: 32.824904N, -80.124925W",,
CT_322,N/A,23_HYB_014,23_HYB_012,F,11,,,,,"23_HYB_001: 32.824904N, -80.124925W",,
CT_323,N/A,23_HYB_014,23_HYB_020,M,12.5,,3,,,"23_HYB_001: 32.824904N, -80.124925W",,
CT_324,N/A,23_HYB_014,23_HYB_013,M,12.7,,,,,"23_HYB_001: 32.824904N, -80.124925W",,
CT_325,N/A,23_HYB_014,23_HYB_018,F,11.8,4,,,,"23_HYB_001: 32.824904N, -80.124925W",,
CT_326,N/A,23_HYB_014,23_HYB_019,F,13.5,,,,,"23_HYB_001: 32.824904N, -80.124925W",,
CT_327,N/A,23_HYB_014,23_HYB_021,M,11.9,,,,,"23_HYB_001: 32.824904N, -80.124925W",,
CT_328,N/A,23_HYB_014,23_HYB_025,F,10.2,,,,,"23_HYB_001: 32.824904N, -80.124925W",,
CT_329,N/A,23_HYB_014,23_HYB_023,F,10.6,,,,,"23_HYB_001: 32.824904N, -80.124925W",,
CT_330,N/A,23_HYB_014,23_HYB_015,M,12.5,,,,,"23_HYB_001: 32.824904N, -80.124925W",,
CT_331,N/A,23_HYB_014,23_HYB_016,M,13.2,,,,,"23_HYB_001: 32.824904N, -80.124925W",,
CT_332,N/A,23_HYB_014,23_HYB_017,M,14.3,,4,,,"23_HYB_001: 32.824904N, -80.124925W",,
CT_333,N/A,23_HYB_014,23_HYB_010,M,14.2,,,,,"23_HYB_001: 32.824904N, -80.124925W",,
CT_334,N/A,23_HYB_014,23_HYB_022,M,14.7,,,,,"23_HYB_001: 32.824904N, -80.124925W",,
CT_335,N/A,23_HYB_014,23_HYB_011,M,16.8,,,,,"23_HYB_001: 32.824904N, -80.124925W",,
CT_336,N/A,23_HYB_002,23_HYB_031,M,18.6,,,,1,,,
CT_337,N/A,23_HYB_002,23_HYB_032,M,20.7,,,,,,,
CT_338,N/A,23_HYB_002,23_HYB_033,M,22.6,,,,1,,,
CT_339,10-Sept-2019,Cray2019_106,Trog_0621,F,23.7,,,,,"Cray2019_106: 33.155547N, -79.767982W",,
CT_340,10-Sept-2019,Cray2019_106,Trog_0622,F,19.8,,,,,"Cray2019_106: 33.155547N, -79.767982W",,
CT_341,4-Oct-2019,Cray2019_042,Trog_0607,F,23.3,,,,,"Cray2019_042: 32.61739N, -80.7094W",,
CT_342,4-Oct-2019,Cray2019_042,Trog_0611,M,11.3,,,,,"Cray2019_042: 32.61739N, -80.7094W",,
CT_343,4-Oct-2019,Cray2019_042,Trog_0608,M,9.7,,,,,"Cray2019_042: 32.61739N, -80.7094W",,
CT_344,4-Oct-2019,Cray2019_042,Trog_0609,F,9.8,,,,,"Cray2019_042: 32.61739N, -80.7094W",,
CT_345,4-Oct-2019,Cray2019_042,Trog_0610,M,10.4,,,,,"Cray2019_042: 32.61739N, -80.7094W",,
CT_346,4-Oct-2019,Cray2019_042,Trog_0612,M,11.9,,,,,"Cray2019_042: 32.61739N, -80.7094W",,
CT_347,26-Jan-2021,Cray2021_004,Trog_0424,F,18.3,,,,,"Cray2021_004: 32.87707N, -81.42867W",,
CT_348,26-Jan-2021,Cray2021_004,Trog_0425,M,13.8,,,,,"Cray2021_004: 32.87707N, -81.42867W",,
CT_349,26-Jan-2021,Cray2021_004,Trog_0426,F,18.8,,,,,"Cray2021_004: 32.87707N, -81.42867W",,
CT_350,23-May-2019,Cray2019_317,Trog_0642,M,28.7,,,,,"Cray2019_317: 33.244449N, -79.520621W",,
CT_351,23-May-2019,Cray2019_317,Trog_0641,F,31.3,,,,2,"Cray2019_317: 33.244449N, -79.520621W",,
CT_352,23-May-2019,Cray2019_317,Trog_0640,F,25.3,,,,,"Cray2019_317: 33.244449N, -79.520621W",,
CT_353,23-May-2019,Cray2019_317,Trog_0639,M,27.1,,,,,"Cray2019_317: 33.244449N, -79.520621W",,
CT_354,23-May-2019,Cray2019_317,Trog_0638,M,30.3,,,,,"Cray2019_317: 33.244449N, -79.520621W",,
CT_355,23-May-2019,Cray2019_317,Trog_0637,M,33.3,,,,,"Cray2019_317: 33.244449N, -79.520621W",,
CT_357,8-Dec-2019,Cray2019_556,Trog_0,F,32.4,,,,,"Cray_2019_566: 32.8152N, -80.1167W",,
CT_358,8-Dec-2019,Cray2019_556,Trog_0,M,26.9,,,,,"Cray_2019_566: 32.8152N, -80.1167W",,
CT_356,23-May-2019,Cray2019_326,Trog_0340,M,18,,9,,,"Cray2019_326: 33.148600N, -79.507038W",,